division= {
		name = "'Groﬂdeutschland' PzG-Division"
		location = 1861 # Berlin
		leader = 758
		regiment = { type = division_hq_elite name = "Stab 'Groﬂdeutschland'" historical_model = 0 strength = 1 organisation = 1 }
		regiment = { type = grossdeutschland_brigade name = "Panzergrenadier/f¸silier.-Rgt.'Groﬂdeutschland'" historical_model = 4 experience = 30 strength = 1 organisation = 1 }
		regiment = { type = armored_engineers_brigade name = "Sturmpionier.-Abt.'Groﬂdeutschland'" historical_model = 2 experience = 30 strength = 1 organisation = 1 }
		regiment = { type = assault_gun_brigade name = "StuG.-Abt.'Groﬂdeutschland'" historical_model = 4 experience = 30 strength = 1 organisation = 1 }
		regiment = { type = sp_artillery_brigade name = "Art.-Rgt.(mot.)'Groﬂdeutschland'" historical_model = 4 experience = 30 strength = 1 organisation = 1 }
		regiment = { type = heavy_armor_brigade name = "Pz.-Rgt.'Groﬂdeutschland'" historical_model = 3 experience = 30 strength = 1 organisation = 1 }
		regiment = { type = GER_hftrack_transport name = "Gefechtstross-Bat. 'Groﬂdeutschland'" historical_model = 10 strength = 1 organisation = 1 }
	}
