LEDGER_PREVIOUS;Previous;Précédent;Zurück;Wstecz;Anterior;Indietro;Elõzõ;Pøedchozí;;;;;;x;
LEDGER_NEXT;Next;Suivant;Weiter;Dalej;Siguiente;Avanti;Következõ;Další;;;;;;x;
LEDGER_CLOSE;Close;Fermer;Schließen;Zamknij;Cerrar;Chiudere;Bezárás;Zavøít;;;;;;x;
LEDGER_COUNTRY;Country;Pays;Land;;País;;;;;;;;;x;
LEDGER_FACTION;Faction;Faction;Bündnis;;Facción;;;;;;;;;x;
LEDGER_VP;VP;PV;SP;;PV;;;;;;;;;x;
LEDGER_OFFMAP_VP;Offmap VP;PV hors de la carte;SP außerh. der Karte;;PV fuera del mapa;;;;;;;;;x;
LEDGER_TOTAL_VP;Total VP;PV totaux;SP gesamt;;PV totales;;;;;;;;;x;
LEDGER_VALUE;Victory Points;Points de victoire;Siegespunkte;;Puntos de victoria;;;;;;;;;x;
LEDGER_CONTROLLER;Controller;Contrôleur;Kontrolle;;En poder de;;;;;;;;;x;
LEDGER_NEUTRAL;Neutral;Neutre;Neutral;;Neutrales;;;;;;;;;x;
LEDGER_TOTAL;Total;Total;Gesamt;;Total;;;;;;;;;x;
LEDGER_ALLARMIES_TITLE;Allied Army Comparison;Comparaison de l'armée alliée;Vergleich verbündeter Armeen;;Comparación ejército aliado;;;;;;;;;x;
LEDGER_ALLNAVIES_TITLE;Allied Navy Comparison;Comparaison de la marine alliée;Vergleich verbündeter Seestreitkr.;;Comparación marina aliada;;;;;;;;;x;
LEDGER_ALLAIR_TITLE;Allied Air Comparison;Comparaison de l'armée de l'air alliée;Vergleich verbündeter Luftstreitkr;;Comparación fuerza aérea aliado;;;;;;;;;x;
LEDGER_TERRITORIAL_TITLE;Controlled Provinces;Provinces contrôlées;Kontrollierte Provinzen;;Provincias controladas;;;;;;;;;x;
LEDGER_PROVINCE;Province;Province;Provinz;;Provincia;;;;;;;;;x;
LEDGER_ENERGY;Energy;Énergie;Energie;;Energía;;;;;;;;;x;
LEDGER_METAL;Metal;Métaux;Metall;;Metal;;;;;;;;;x;
LEDGER_RARE;Rare Mat.;Matériaux rares;Seltene Mat.;;Mat. rara;;;;;;;;;x;
LEDGER_OIL;Oil;Pétrole;Öl;;Petróleo;;;;;;;;;x;
